table,column,model,field,runtime_signal,scripts_signal,tests_signal,db_runtime_refs,db_scripts_refs,db_tests_refs,decision
chat_conversation_members,left_at,ChatConversationMember,leftAt,21,1,0,36,5,0,KEEP_DEV_REVIEW
chat_conversation_members,muted_until,ChatConversationMember,mutedUntil,54,0,0,36,5,0,KEEP_DEV_REVIEW
padel_rating_profiles,suspension_ends_at,PadelRatingProfile,suspensionEndsAt,9,0,4,23,0,7,KEEP_DEV_REVIEW
organization_form_fields,help_text,OrganizationFormField,helpText,22,0,0,3,0,0,KEEP_DEV_REVIEW
event_access_policies,invite_token_ttl_seconds,EventAccessPolicy,inviteTokenTtlSeconds,24,0,16,9,0,8,KEEP_DEV_REVIEW
events,deleted_at,Event,deletedAt,174,2,5,199,7,95,KEEP_DEV_REVIEW
chat_conversation_messages,deleted_at,ChatConversationMessage,deletedAt,174,2,5,38,4,0,KEEP_DEV_REVIEW
chat_conversation_messages,edited_at,ChatConversationMessage,editedAt,5,0,0,38,4,0,KEEP_DEV_REVIEW
padel_club_courts,deleted_at,PadelClubCourt,deletedAt,174,2,5,44,0,9,KEEP_DEV_REVIEW
padel_club_staff,deleted_at,PadelClubStaff,deletedAt,174,2,5,19,0,4,KEEP_DEV_REVIEW
booking_charges,payment_id,BookingCharge,paymentId,179,43,37,7,0,0,KEEP_DEV_REVIEW
booking_charges,payment_intent_id,BookingCharge,paymentIntentId,458,4,17,7,0,0,KEEP_DEV_REVIEW
organization_audit_logs,from_user_id,OrganizationAuditLog,fromUserId,57,0,1,6,0,3,KEEP_DEV_REVIEW
crm_campaign_deliveries,error_code,CrmCampaignDelivery,errorCode,1038,5,129,20,0,1,KEEP_DEV_REVIEW
crm_campaign_deliveries,error_message,CrmCampaignDelivery,errorMessage,69,0,0,20,0,1,KEEP_DEV_REVIEW
services,category_tag,Service,categoryTag,32,0,7,35,1,7,KEEP_DEV_REVIEW
services,cover_image_url,Service,coverImageUrl,256,0,19,35,1,7,KEEP_DEV_REVIEW
padel_tournament_configs,cancelled_at,PadelTournamentConfig,cancelledAt,99,0,27,50,0,33,KEEP_DEV_REVIEW
padel_tournament_configs,completed_at,PadelTournamentConfig,completedAt,9,0,6,50,0,33,KEEP_DEV_REVIEW
padel_tournament_configs,locked_at,PadelTournamentConfig,lockedAt,26,0,6,50,0,33,KEEP_DEV_REVIEW
padel_tournament_configs,rule_set_version_id,PadelTournamentConfig,ruleSetVersionId,46,0,10,50,0,33,KEEP_DEV_REVIEW
padel_tournament_configs,team_size,PadelTournamentConfig,teamSize,20,0,2,50,0,33,KEEP_DEV_REVIEW
organizations,entity_type,Organization,entityType,116,0,16,121,3,54,KEEP_DEV_REVIEW
organizations,padel_default_hours,Organization,padelDefaultHours,3,0,0,121,3,54,KEEP_DEV_REVIEW
organizations,padel_default_short_name,Organization,padelDefaultShortName,3,0,0,121,3,54,KEEP_DEV_REVIEW
organizations,payout_iban,Organization,payoutIban,7,0,0,121,3,54,KEEP_DEV_REVIEW
padel_rounds,duration_seconds,PadelRound,durationSeconds,0,0,0,2,0,0,KEEP_DEV_REVIEW
payment_events,stripe_event_id,PaymentEvent,stripeEventId,74,3,8,37,8,6,KEEP_DEV_REVIEW
cron_heartbeats,last_error,CronHeartbeat,lastError,17,0,0,2,0,0,KEEP_DEV_REVIEW
promo_redemptions,guest_email,PromoRedemption,guestEmail,119,0,3,12,0,0,KEEP_DEV_REVIEW
padel_clubs,deleted_at,PadelClub,deletedAt,174,2,5,36,1,12,KEEP_DEV_REVIEW
padel_clubs,source_club_id,PadelClub,sourceClubId,16,0,1,36,1,12,KEEP_DEV_REVIEW
chat_conversations,close_at,ChatConversation,closeAt,9,0,0,47,3,0,KEEP_DEV_REVIEW
chat_conversations,customer_id,ChatConversation,customerId,38,0,0,47,3,0,KEEP_DEV_REVIEW
chat_conversations,professional_id,ChatConversation,professionalId,357,3,23,47,3,0,KEEP_DEV_REVIEW
chat_conversations,read_only_at,ChatConversation,readOnlyAt,7,0,0,47,3,0,KEEP_DEV_REVIEW
store_categories,cover_image_url,StoreCategory,coverImageUrl,256,0,19,10,2,0,KEEP_DEV_REVIEW
crm_campaigns,approval_expires_at,CrmCampaign,approvalExpiresAt,6,0,0,28,0,1,KEEP_DEV_REVIEW
crm_campaigns,cancelled_at,CrmCampaign,cancelledAt,99,0,27,28,0,1,KEEP_DEV_REVIEW
crm_campaigns,rejected_at,CrmCampaign,rejectedAt,5,0,0,28,0,1,KEEP_DEV_REVIEW
crm_campaigns,rejected_by_user_id,CrmCampaign,rejectedByUserId,3,0,0,28,0,1,KEEP_DEV_REVIEW
promo_codes,min_quantity,PromoCode,minQuantity,32,0,0,19,0,0,KEEP_DEV_REVIEW
promo_codes,min_total_cents,PromoCode,minTotalCents,21,0,0,19,0,0,KEEP_DEV_REVIEW
entitlements,season_id,Entitlement,seasonId,4,0,0,51,3,15,KEEP_DEV_REVIEW
entitlements,tournament_id,Entitlement,tournamentId,92,0,11,51,3,15,KEEP_DEV_REVIEW
