api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/cron/reservations/cleanup,app/api/cron/reservations/cleanup/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/email/verified,app/api/email/verified/route.ts,public,covered,1,app/components/autenticação/AuthModal.tsx
/api/eventos/[slug]/invite-token,app/api/eventos/[slug]/invite-token/route.ts,public,covered,2,app/eventos/[slug]/InviteGateClient.tsx; apps/mobile/app/event/[slug].tsx
/api/eventos/[slug]/invites/check,app/api/eventos/[slug]/invites/check/route.ts,public,covered,2,app/eventos/[slug]/InviteGateClient.tsx; apps/mobile/app/event/[slug].tsx
/api/eventos/[slug]/public,app/api/eventos/[slug]/public/route.ts,public,covered,1,apps/mobile/features/events/api.ts
/api/eventos/[slug]/resales,app/api/eventos/[slug]/resales/route.ts,public,covered,1,app/eventos/[slug]/page.tsx
/api/eventos/list,app/api/eventos/list/route.ts,public,covered,1,apps/mobile/features/agora/api.ts
/api/eventos/lookup,app/api/eventos/lookup/route.ts,public,covered,1,apps/mobile/features/profile/api.ts
/api/events/favorites,app/api/events/favorites/route.ts,public,covered,1,apps/mobile/features/favorites/api.ts
/api/events/favorites/notify,app/api/events/favorites/notify/route.ts,public,covered,1,apps/mobile/features/favorites/api.ts
/api/events/favorites/toggle,app/api/events/favorites/toggle/route.ts,public,covered,1,apps/mobile/features/favorites/api.ts
/api/explorar/eventos/[slug],app/api/explorar/eventos/[slug]/route.ts,public,covered,1,apps/mobile/features/profile/api.ts
/api/explorar/list,app/api/explorar/list/route.ts,public,covered,3,app/components/Navbar.tsx; app/descobrir/_explorar/ExplorarContent.tsx; apps/mobile/features/discover/api.ts
/api/inscricoes/[id]/submit,app/api/inscricoes/[id]/submit/route.ts,public,covered,1,app/inscricoes/[id]/FormSubmissionClient.tsx
/api/internal/audit,app/api/internal/audit/route.ts,internal,exempt,0,
/api/internal/checkin/consume,app/api/internal/checkin/consume/route.ts,internal,exempt,0,
/api/internal/checkout/timeline,app/api/internal/checkout/timeline/route.ts,internal,exempt,0,
/api/internal/crm/ingest,app/api/internal/crm/ingest/route.ts,internal,exempt,0,
/api/internal/crm/rebuild,app/api/internal/crm/rebuild/route.ts,internal,exempt,0,
/api/internal/notifications/sweep,app/api/internal/notifications/sweep/route.ts,internal,exempt,0,
/api/internal/ops/dashboard,app/api/internal/ops/dashboard/route.ts,internal,exempt,0,
/api/internal/ops/feed,app/api/internal/ops/feed/route.ts,internal,exempt,0,
/api/internal/ops/health,app/api/internal/ops/health/route.ts,internal,exempt,0,
/api/internal/ops/outbox/replay,app/api/internal/ops/outbox/replay/route.ts,internal,exempt,0,
/api/internal/ops/outbox/summary,app/api/internal/ops/outbox/summary/route.ts,internal,exempt,0,
/api/internal/ops/padel/backfill,app/api/internal/ops/padel/backfill/route.ts,internal,exempt,0,
/api/internal/ops/padel/cleanup,app/api/internal/ops/padel/cleanup/route.ts,internal,exempt,0,
/api/internal/ops/padel/integrity,app/api/internal/ops/padel/integrity/route.ts,internal,exempt,0,
