api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/organizacao/agenda/soft-blocks,app/api/organizacao/agenda/soft-blocks/route.ts,public,orphan,0,
/api/organizacao/analytics/dimensoes,app/api/organizacao/analytics/dimensoes/route.ts,public,orphan,0,
/api/organizacao/analytics/overview,app/api/organizacao/analytics/overview/route.ts,public,orphan,0,
/api/organizacao/audit,app/api/organizacao/audit/route.ts,public,covered,1,app/organizacao/(dashboard)/staff/page.tsx
/api/organizacao/avaliacoes,app/api/organizacao/avaliacoes/route.ts,public,covered,1,app/organizacao/OrganizationPublicProfilePanel.tsx
/api/organizacao/become,app/api/organizacao/become/route.ts,public,orphan,0,
/api/organizacao/chat/canais,app/api/organizacao/chat/canais/route.ts,public,orphan,0,
/api/organizacao/chat/canais/[channelId]/mensagens,app/api/organizacao/chat/canais/[channelId]/mensagens/route.ts,public,orphan,0,
/api/organizacao/checkin,app/api/organizacao/checkin/route.ts,public,covered,1,app/components/checkin/CheckinScanner.tsx
/api/organizacao/checkin/preview,app/api/organizacao/checkin/preview/route.ts,public,covered,1,app/components/checkin/CheckinScanner.tsx
/api/organizacao/club/finance/overview,app/api/organizacao/club/finance/overview/route.ts,public,covered,1,app/organizacao/(dashboard)/clube/caixa/page.tsx
/api/organizacao/consentimentos,app/api/organizacao/consentimentos/route.ts,public,orphan,0,
/api/organizacao/consentimentos/[userId],app/api/organizacao/consentimentos/[userId]/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/clientes/[customerId]/page.tsx
/api/organizacao/crm/campanhas,app/api/organizacao/crm/campanhas/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/campanhas/page.tsx
/api/organizacao/crm/campanhas/[campaignId]/enviar,app/api/organizacao/crm/campanhas/[campaignId]/enviar/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/campanhas/page.tsx
/api/organizacao/crm/clientes,app/api/organizacao/crm/clientes/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/clientes/page.tsx
/api/organizacao/crm/clientes/[customerId],app/api/organizacao/crm/clientes/[customerId]/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/clientes/[customerId]/page.tsx
/api/organizacao/crm/clientes/[customerId]/notas,app/api/organizacao/crm/clientes/[customerId]/notas/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/clientes/[customerId]/page.tsx
/api/organizacao/crm/clientes/[customerId]/tags,app/api/organizacao/crm/clientes/[customerId]/tags/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/clientes/[customerId]/page.tsx
/api/organizacao/crm/relatorios,app/api/organizacao/crm/relatorios/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/relatorios/page.tsx
/api/organizacao/crm/segmentos,app/api/organizacao/crm/segmentos/route.ts,public,covered,2,app/organizacao/(dashboard)/crm/campanhas/page.tsx; app/organizacao/(dashboard)/crm/segmentos/page.tsx
/api/organizacao/crm/segmentos/[segmentId],app/api/organizacao/crm/segmentos/[segmentId]/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/segmentos/[segmentId]/page.tsx
